scenario,controller,iteration,time_s,start_normalized_percent,target_normalized_percent,measurement_normalized_percent,error_normalized_percent,effort_normalized_percent_per_s,kp,ki,kd
PI_0_100,PI,8,0.160000,0.000000,100.000000,16.000000,84.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,9,0.180000,0.000000,100.000000,18.000000,82.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,10,0.200000,0.000000,100.000000,20.000000,80.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,11,0.220000,0.000000,100.000000,22.000000,78.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,12,0.240000,0.000000,100.000000,24.000000,76.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,13,0.260000,0.000000,100.000000,26.000000,74.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,14,0.280000,0.000000,100.000000,28.000000,72.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,15,0.300000,0.000000,100.000000,30.000000,70.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,16,0.320000,0.000000,100.000000,32.000000,68.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,17,0.340000,0.000000,100.000000,34.000000,66.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,18,0.360000,0.000000,100.000000,36.000000,64.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,19,0.380000,0.000000,100.000000,38.000000,62.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,20,0.400000,0.000000,100.000000,40.000000,60.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,21,0.420000,0.000000,100.000000,42.000000,58.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,22,0.440000,0.000000,100.000000,44.000000,56.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,23,0.460000,0.000000,100.000000,46.000000,54.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,24,0.480000,0.000000,100.000000,48.000000,52.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,25,0.500000,0.000000,100.000000,50.000000,50.000000,100.000000,2.000000,0.100000,0.000000
PI_0_100,PI,26,0.520000,0.000000,100.000000,52.000000,48.000000,96.096000,2.000000,0.100000,0.000000
PI_0_100,PI,27,0.540000,0.000000,100.000000,53.921920,46.078080,92.344316,2.000000,0.100000,0.000000
PI_0_100,PI,28,0.560000,0.000000,100.000000,55.768806,44.231194,88.739006,2.000000,0.100000,0.000000
PI_0_100,PI,29,0.580000,0.000000,100.000000,57.543586,42.456414,85.274358,2.000000,0.100000,0.000000
PI_0_100,PI,30,0.600000,0.000000,100.000000,59.249074,40.750926,81.944886,2.000000,0.100000,0.000000
PI_0_100,PI,31,0.620000,0.000000,100.000000,60.887971,39.112029,78.745315,2.000000,0.100000,0.000000
PI_0_100,PI,32,0.640000,0.000000,100.000000,62.462878,37.537122,75.670576,2.000000,0.100000,0.000000
PI_0_100,PI,33,0.660000,0.000000,100.000000,63.976289,36.023711,72.715801,2.000000,0.100000,0.000000
PI_0_100,PI,34,0.680000,0.000000,100.000000,65.430605,34.569395,69.876307,2.000000,0.100000,0.000000
PI_0_100,PI,35,0.700000,0.000000,100.000000,66.828131,33.171869,67.147599,2.000000,0.100000,0.000000
PI_0_100,PI,36,0.720000,0.000000,100.000000,68.171083,31.828917,64.525353,2.000000,0.100000,0.000000
PI_0_100,PI,37,0.740000,0.000000,100.000000,69.461590,30.538410,62.005415,2.000000,0.100000,0.000000
PI_0_100,PI,38,0.760000,0.000000,100.000000,70.701699,29.298301,59.583795,2.000000,0.100000,0.000000
PI_0_100,PI,39,0.780000,0.000000,100.000000,71.893375,28.106625,57.256657,2.000000,0.100000,0.000000
PI_0_100,PI,40,0.800000,0.000000,100.000000,73.038508,26.961492,55.020314,2.000000,0.100000,0.000000
PI_0_100,PI,41,0.820000,0.000000,100.000000,74.138914,25.861086,52.871223,2.000000,0.100000,0.000000
PI_0_100,PI,42,0.840000,0.000000,100.000000,75.196338,24.803662,50.805982,2.000000,0.100000,0.000000
PI_0_100,PI,43,0.860000,0.000000,100.000000,76.212458,23.787542,48.821317,2.000000,0.100000,0.000000
PI_0_100,PI,44,0.880000,0.000000,100.000000,77.188884,22.811116,46.914087,2.000000,0.100000,0.000000
PI_0_100,PI,45,0.900000,0.000000,100.000000,78.127166,21.872834,45.081269,2.000000,0.100000,0.000000
PI_0_100,PI,46,0.920000,0.000000,100.000000,79.028792,20.971208,43.319961,2.000000,0.100000,0.000000
PI_0_100,PI,47,0.940000,0.000000,100.000000,79.895191,20.104809,41.627372,2.000000,0.100000,0.000000
PI_0_100,PI,48,0.960000,0.000000,100.000000,80.727738,19.272262,40.000822,2.000000,0.100000,0.000000
PI_0_100,PI,49,0.980000,0.000000,100.000000,81.527755,18.472245,38.437733,2.000000,0.100000,0.000000
PI_0_100,PI,50,1.000000,0.000000,100.000000,82.296509,17.703491,36.935631,2.000000,0.100000,0.000000
PI_0_100,PI,51,1.020000,0.000000,100.000000,83.035222,16.964778,35.492135,2.000000,0.100000,0.000000
PI_0_100,PI,52,1.040000,0.000000,100.000000,83.745065,16.254935,34.104960,2.000000,0.100000,0.000000
PI_0_100,PI,53,1.060000,0.000000,100.000000,84.427164,15.572836,32.771907,2.000000,0.100000,0.000000
PI_0_100,PI,54,1.080000,0.000000,100.000000,85.082602,14.917398,31.490865,2.000000,0.100000,0.000000
PI_0_100,PI,55,1.100000,0.000000,100.000000,85.712419,14.287581,30.259806,2.000000,0.100000,0.000000
PI_0_100,PI,56,1.120000,0.000000,100.000000,86.317615,13.682385,29.076779,2.000000,0.100000,0.000000
PI_0_100,PI,57,1.140000,0.000000,100.000000,86.899151,13.100849,27.939909,2.000000,0.100000,0.000000
PI_0_100,PI,58,1.160000,0.000000,100.000000,87.457949,12.542051,26.847397,2.000000,0.100000,0.000000
PI_0_100,PI,59,1.180000,0.000000,100.000000,87.994897,12.005103,25.797511,2.000000,0.100000,0.000000
PI_0_100,PI,60,1.200000,0.000000,100.000000,88.510847,11.489153,24.788589,2.000000,0.100000,0.000000
PI_0_100,PI,61,1.220000,0.000000,100.000000,89.006619,10.993381,23.819032,2.000000,0.100000,0.000000
PI_0_100,PI,62,1.240000,0.000000,100.000000,89.483000,10.517000,22.887305,2.000000,0.100000,0.000000
PI_0_100,PI,63,1.260000,0.000000,100.000000,89.940746,10.059254,21.991931,2.000000,0.100000,0.000000
PI_0_100,PI,64,1.280000,0.000000,100.000000,90.380584,9.619416,21.131493,2.000000,0.100000,0.000000
PI_0_100,PI,65,1.300000,0.000000,100.000000,90.803214,9.196786,20.304627,2.000000,0.100000,0.000000
PI_0_100,PI,66,1.320000,0.000000,100.000000,91.209307,8.790693,19.510023,2.000000,0.100000,0.000000
PI_0_100,PI,67,1.340000,0.000000,100.000000,91.599507,8.400493,18.746423,2.000000,0.100000,0.000000
PI_0_100,PI,68,1.360000,0.000000,100.000000,91.974436,8.025564,18.012617,2.000000,0.100000,0.000000
PI_0_100,PI,69,1.380000,0.000000,100.000000,92.334688,7.665312,17.307443,2.000000,0.100000,0.000000
PI_0_100,PI,70,1.400000,0.000000,100.000000,92.680837,7.319163,16.629784,2.000000,0.100000,0.000000
PI_0_100,PI,71,1.420000,0.000000,100.000000,93.013433,6.986567,15.978566,2.000000,0.100000,0.000000
PI_0_100,PI,72,1.440000,0.000000,100.000000,93.333004,6.666996,15.352757,2.000000,0.100000,0.000000
PI_0_100,PI,73,1.460000,0.000000,100.000000,93.640059,6.359941,14.751367,2.000000,0.100000,0.000000
PI_0_100,PI,74,1.480000,0.000000,100.000000,93.935086,6.064914,14.173442,2.000000,0.100000,0.000000
PI_0_100,PI,75,1.500000,0.000000,100.000000,94.218555,5.781445,13.618067,2.000000,0.100000,0.000000
PI_0_100,PI,76,1.520000,0.000000,100.000000,94.490917,5.509083,13.084362,2.000000,0.100000,0.000000
PI_0_100,PI,77,1.540000,0.000000,100.000000,94.752604,5.247396,12.571483,2.000000,0.100000,0.000000
PI_0_100,PI,78,1.560000,0.000000,100.000000,95.004033,4.995967,12.078615,2.000000,0.100000,0.000000
PI_0_100,PI,79,1.580000,0.000000,100.000000,95.245606,4.754394,11.604980,2.000000,0.100000,0.000000
PI_0_100,PI,80,1.600000,0.000000,100.000000,95.477705,4.522295,11.149825,2.000000,0.100000,0.000000
PI_0_100,PI,81,1.620000,0.000000,100.000000,95.700702,4.299298,10.712431,2.000000,0.100000,0.000000
PI_0_100,PI,82,1.640000,0.000000,100.000000,95.914951,4.085049,10.292103,2.000000,0.100000,0.000000
PI_0_100,PI,83,1.660000,0.000000,100.000000,96.120793,3.879207,9.888178,2.000000,0.100000,0.000000
PI_0_100,PI,84,1.680000,0.000000,100.000000,96.318556,3.681444,9.500013,2.000000,0.100000,0.000000
PI_0_100,PI,85,1.700000,0.000000,100.000000,96.508556,3.491444,9.126996,2.000000,0.100000,0.000000
PI_0_100,PI,86,1.720000,0.000000,100.000000,96.691096,3.308904,8.768534,2.000000,0.100000,0.000000
PI_0_100,PI,87,1.740000,0.000000,100.000000,96.866467,3.133533,8.424060,2.000000,0.100000,0.000000
PI_0_100,PI,88,1.760000,0.000000,100.000000,97.034948,2.965052,8.093027,2.000000,0.100000,0.000000
PI_0_100,PI,89,1.780000,0.000000,100.000000,97.196809,2.803191,7.774913,2.000000,0.100000,0.000000
PI_0_100,PI,90,1.800000,0.000000,100.000000,97.352307,2.647693,7.469211,2.000000,0.100000,0.000000
PI_0_100,PI,91,1.820000,0.000000,100.000000,97.501691,2.498309,7.175440,2.000000,0.100000,0.000000
PI_0_100,PI,92,1.840000,0.000000,100.000000,97.645200,2.354800,6.893132,2.000000,0.100000,0.000000
PI_0_100,PI,93,1.860000,0.000000,100.000000,97.783063,2.216937,6.621840,2.000000,0.100000,0.000000
PI_0_100,PI,94,1.880000,0.000000,100.000000,97.915499,2.084501,6.361136,2.000000,0.100000,0.000000
PID_0_100,PID,0,0.000000,0.000000,100.000000,0.000000,100.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,1,0.020000,0.000000,100.000000,2.000000,98.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,2,0.040000,0.000000,100.000000,4.000000,96.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,3,0.060000,0.000000,100.000000,6.000000,94.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,4,0.080000,0.000000,100.000000,8.000000,92.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,5,0.100000,0.000000,100.000000,10.000000,90.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,6,0.120000,0.000000,100.000000,12.000000,88.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,7,0.140000,0.000000,100.000000,14.000000,86.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,8,0.160000,0.000000,100.000000,16.000000,84.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,9,0.180000,0.000000,100.000000,18.000000,82.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,10,0.200000,0.000000,100.000000,20.000000,80.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,11,0.220000,0.000000,100.000000,22.000000,78.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,12,0.240000,0.000000,100.000000,24.000000,76.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,13,0.260000,0.000000,100.000000,26.000000,74.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,14,0.280000,0.000000,100.000000,28.000000,72.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,15,0.300000,0.000000,100.000000,30.000000,70.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,16,0.320000,0.000000,100.000000,32.000000,68.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,17,0.340000,0.000000,100.000000,34.000000,66.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,18,0.360000,0.000000,100.000000,36.000000,64.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,19,0.380000,0.000000,100.000000,38.000000,62.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,20,0.400000,0.000000,100.000000,40.000000,60.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,21,0.420000,0.000000,100.000000,42.000000,58.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,22,0.440000,0.000000,100.000000,44.000000,56.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,23,0.460000,0.000000,100.000000,46.000000,54.000000,100.000000,2.000000,0.100000,0.050000
PID_0_100,PID,24,0.480000,0.000000,100.000000,48.000000,52.000000,99.104000,2.000000,0.100000,0.050000
PID_0_100,PID,25,0.500000,0.000000,100.000000,49.982080,50.017920,95.284676,2.000000,0.100000,0.050000
PID_0_100,PID,26,0.520000,0.000000,100.000000,51.887774,48.112226,91.760479,2.000000,0.100000,0.050000
